ReviewId,Comment,VADER,ChatGPT,llama-3.3-70b-versatile,Llama-3,Aggregated_Ratio
5431652341,"Giao hàng nhanh. Anh giao hàng dễ thương lắm. Mình đặt là chuyên được anh này giao. Màu siêu siêu đẹp. Màu lên môi tự nhiên lắm. Săn đc sale nên rẻ hơn. Mỗi tội định đặt 66d có óng ánh xíu lộn sang màu này. Không sao, sale mua tiếp. Màu xinh lắm luôn",0.0,0.9,0.9,0.95,0.84375
5557401357,"Son đẹp, đáng giá tiền. Mình đã mua son này 2 lần và rất hài lòng về chất son. Hàng quốc tế nhưng mà ship rất nhanh.",0.0,1.0,0.8,0.9,0.8375
5947965411,"Son xinh bất chấp mọi người ạ, mùi thơm cực, chất son mịn, dễ tán, lên môi mềm, đều màu. Mình mua sale 200k/2 cây, giá hạt dẻ lại cực hợp lý. Nên mua nhé mọi người😍",1.0,1.0,1.0,1.0,1.0
6655576482,Sản phẩm tốt giao hàng nhanh chóng đóng gói kỹ cho shop 5 sao ..,0.0,1.0,1.0,0.8,0.85
6664841001,"Đóng gói sản phẩm cẩn thận, ship hàng nhanh. Vỏ son nhìn sang, màu son đẹp. Mình test thử ra tay thấy chất son đẹp, nhiều dưỡng, có lấp lánh...",0.0,0.9,0.9,0.9,0.8375
6715908185,"Son mùi thơm nhẹ, màu lên tay khá xinh, đặt từ 11/11 đến 25/11 nhận đc, giá săn sale khá rẻ, chưa thử độ bám màu nen chưa rõ bám magu lâu k!",0.0,0.5,0.8,0.7,0.75
6989031011,"Son có mùi thơm ơi là thơm, mềm môi. 
Kẻ mắt phải gọi là siêu ưng, kẻ phát là dính luôn.
Săn sale nên được giá hời. Sẽ mua lạiiiii",0.0,1.0,0.9,0.9333333333333333,0.8541666666666667
7203790268,"Công dụng:công dụng để xinh nha 😂
Kết cấu:đầu cuối tương ứng🤣
Độ bền màu:9/10

Được anh ngyêu mua son cho ta nói nó đã gì đâuuu. Màu son lên đẹp, son xinh, lâu trôi nhá",1.0,0.9,0.8,0.8,0.9375
7341420790,"Công dụng:tốt
Kết cấu:đẹp
Độ bền màu:quá tốt

nói chung son rẻ mà chất lượng quá đỉnh luôn á troii, chắc sau này chuyển qua dùng son này luôn quá",0.0,1.0,0.9,0.9333333333333333,0.8541666666666667
7486064849,"Công dụng:sang
Kết cấu:xịn
Độ bền màu:mịn

Son xinh dã man , rcm mua màu này nha , đánh thích cực , mướt lắm nên mua , shop quốc tế mà giao hàng cực nhanh",0.0,1.0,0.9,0.9333333333333333,0.8541666666666667
7569771424,"Công dụng:...
Kết cấu:mịn
Độ bền màu:tạm

Đẹp quá trời ơi, meo meo chít chít, tôi vô cùng hài lòng về mẫu trang phục 2 ống này. Cảm ơn nhà sx đã chế tạo ra sản phẩm này",0.0,0.9,0.9,0.9,0.8375
7661020555,"Công dụng:son
Kết cấu:nhung lì
Độ bền màu:khá bền màu

Màu son đẹp, mua lúc đang sale nên giá tốt. Chưa thử trên môi nên chưa biết chất lượng ra sao. Thời gian giao hàng khá nhanh.",0.0,0.5,0.6,0.6,0.7125
