ReviewId,Is_Valid,Is_Seeding,Worker1_Llama8B,Worker2_Llama70B,Worker3_Llama8B_Backup,Referee_GPT4oMini,Final_Score
5431652341,TRUE,FALSE,"{'pos': ['nhanh', 'dễ thương', 'siêu đẹp', 'xinh lắm'], 'neg': []}","{'pos': ['giao hàng nhanh', 'màu đẹp', 'rẻ'], 'neg': []}","{'pos': ['nhanh', 'dễ thương', 'siêu đẹp', 'xinh lắm'], 'neg': []}","{'pos': ['nhanh', 'dễ thương', 'siêu đẹp', 'xinh lắm', 'màu đẹp', 'rẻ'], 'neg': []}",1
5557401357,TRUE,FALSE,"{'pos': ['đẹp', 'đáng giá tiền'], 'neg': []}","{'pos': ['son đẹp', 'đáng giá tiền', 'giao hàng nhanh'], 'neg': []}","{'pos': ['đẹp', 'đáng giá tiền'], 'neg': []}","{'pos': ['đẹp', 'đáng giá tiền', 'giao hàng nhanh'], 'neg': []}",1
5947965411,TRUE,TRUE,"{'pos': ['xinh', 'cực', 'hợp lý'], 'neg': []}","{'pos': ['mùi thơm', 'chất son mịn', 'giá hợp lý'], 'neg': []}","{'pos': ['xinh', 'cực', 'hợp lý'], 'neg': []}","{'pos': ['xinh', 'cực', 'mùi thơm', 'chất son mịn', 'giá hợp lý'], 'neg': []}",0.8
6655576482,TRUE,FALSE,"{'pos': ['tốt', 'nhanh chóng', 'đóng gói kỹ'], 'neg': []}","{'pos': ['sản phẩm tốt', 'giao hàng nhanh', 'đóng gói kỹ'], 'neg': []}","{'pos': ['tốt', 'nhanh chóng', 'đóng gói kỹ'], 'neg': []}","{'pos': ['tốt', 'nhanh chóng', 'đóng gói kỹ'], 'neg': []}",1
6664841001,TRUE,FALSE,"{'pos': ['cẩn thận', 'sang', 'đẹp', 'hạt dẻ'], 'neg': []}","{'pos': ['đóng gói cẩn thận', 'ship hàng nhanh', 'vỏ son sang'], 'neg': []}","{'pos': ['cẩn thận', 'sang', 'đẹp', 'hạt dẻ'], 'neg': []}","{'pos': ['cẩn thận', 'sang', 'đẹp'], 'neg': []}",1
6715908185,TRUE,FALSE,"{'pos': ['thơm nhẹ', 'xinh', 'săn sale', 'hời'], 'neg': []}","{'pos': ['mùi thơm', 'màu xinh', 'giá rẻ'], 'neg': []}","{'pos': ['thơm nhẹ', 'xinh', 'săn sale', 'hời'], 'neg': []}","{'pos': ['thơm nhẹ', 'xinh', 'săn sale', 'giá rẻ'], 'neg': []}",1
6989031011,TRUE,TRUE,"{'pos': ['thơm', 'siêu ưng', 'hời'], 'neg': []}","{'pos': ['mùi thơm', 'mềm môi', 'giá hời'], 'neg': ['kẻ mắt dính']}","{'pos': ['thơm', 'siêu ưng', 'hời'], 'neg': []}","{'pos': ['thơm', 'siêu ưng', 'hời'], 'neg': []}",0.8
7203790268,FALSE,TRUE,{},{},{},{},0.5
7341420790,FALSE,TRUE,{},{},{},{},0.5
7486064849,FALSE,TRUE,{},{},{},{},0.5
7569771424,FALSE,TRUE,{},{},{},{},0.5
7661020555,TRUE,FALSE,"{'pos': ['đẹp', 'tốt'], 'neg': []}","{'pos': ['màu son đẹp', 'giá tốt', 'giao hàng nhanh'], 'neg': []}","{'pos': ['đẹp', 'tốt'], 'neg': []}","{'pos': ['đẹp', 'giá tốt', 'giao hàng nhanh'], 'neg': []}",1
7672981278,TRUE,FALSE,"{'pos': ['đẹp', 'cẩn thận', 'tuyệt vời', 'kĩ càng'], 'neg': []}","{'pos': ['đẹp', 'giao hàng cẩn thận', 'đóng gói kỹ'], 'neg': []}","{'pos': ['đẹp', 'cẩn thận', 'tuyệt vời', 'kĩ càng'], 'neg': []}","{'pos': ['đẹp', 'cẩn thận', 'tuyệt vời', 'kĩ càng'], 'neg': []}",1
7939238255,TRUE,FALSE,"{'pos': ['chọn', 'hài lòng'], 'neg': []}","{'pos': ['màu son lên chuẩn', 'đánh hằng ngày'], 'neg': []}","{'pos': ['chọn', 'hài lòng'], 'neg': []}","{'pos': ['màu son lên chuẩn', 'đánh hằng ngày'], 'neg': []}",1
8158785442,TRUE,FALSE,"{'pos': ['tốt', 'hạt dẻ', 'hợp lý'], 'neg': []}","{'pos': ['son đẹp', 'mịn', 'mùi thơm'], 'neg': []}","{'pos': ['tốt', 'hạt dẻ', 'hợp lý'], 'neg': []}","{'pos': ['son đẹp', 'mịn', 'mùi thơm'], 'neg': []}",1
8180113982,TRUE,FALSE,"{'pos': ['siêu xinh', 'mịn', 'thơm'], 'neg': []}","{'pos': ['giao hàng nhanh', 'son xinh', 'chất kem mịn'], 'neg': []}","{'pos': ['siêu xinh', 'mịn', 'thơm'], 'neg': []}","{'pos': ['siêu xinh', 'mịn', 'thơm'], 'neg': []}",1
8322290286,TRUE,FALSE,"{'pos': ['tốt', 'cẩn thận', 'mảnh'], 'neg': []}","{'pos': ['giao hàng tốt', 'đóng gói cẩn thận', 'màu đẹp'], 'neg': ['chì mảnh']}","{'pos': ['tốt', 'cẩn thận', 'mảnh'], 'neg': []}","{'pos': ['tốt', 'cẩn thận', 'mảnh', 'màu đẹp'], 'neg': []}",1
8455488612,TRUE,FALSE,"{'pos': ['đẹp', 'gọn gàng'], 'neg': []}","{'pos': ['son đẹp', 'đóng gói gọn', 'tặng kèm'], 'neg': []}","{'pos': ['đẹp', 'gọn gàng'], 'neg': []}","{'pos': ['đẹp', 'gọn gàng', 'tặng kèm'], 'neg': []}",1
8558401381,TRUE,FALSE,"{'pos': ['hợp lý', 'cảm ơn'], 'neg': []}","{'pos': ['mùi thơm', 'màu đẹp', 'giao hàng nhanh'], 'neg': []}","{'pos': ['hợp lý', 'cảm ơn'], 'neg': []}","{'pos': ['mùi thơm', 'màu đẹp', 'giao hàng nhanh'], 'neg': []}",1
8567845390,TRUE,FALSE,"{'pos': ['đẹp', 'mướt môi'], 'neg': []}","{'pos': ['màu son đẹp', 'tôn da', 'mướt môi'], 'neg': ['chất son dễ transfer']}","{'pos': ['đẹp', 'mướt môi'], 'neg': []}","{'pos': ['đẹp', 'mướt môi'], 'neg': ['chất son dễ transfer']}",0.6667
8584838517,TRUE,FALSE,"{'pos': ['đẹp', 'oke'], 'neg': []}","{'pos': ['màu son đẹp', 'kem che tốt'], 'neg': ['cây kem che khuyết điểm ít']}","{'pos': ['đẹp', 'oke'], 'neg': []}","{'pos': ['đẹp', 'oke'], 'neg': []}",1
8586162722,TRUE,FALSE,"{'pos': ['siêu đẹp', 'nhanh'], 'neg': []}","{'pos': ['màu siêu đẹp', 'giao hàng nhanh', 'son mềm'], 'neg': []}","{'pos': ['siêu đẹp', 'nhanh'], 'neg': []}","{'pos': ['màu siêu đẹp', 'giao hàng nhanh', 'son mềm'], 'neg': []}",1
8720067928,TRUE,FALSE,"{'pos': ['lì', 'mượt mà'], 'neg': []}","{'pos': ['giá bình thường', 'mua được nhiều'], 'neg': []}","{'pos': ['lì', 'mượt mà'], 'neg': []}","{'pos': ['lì', 'mượt mà', 'giá bình thường'], 'neg': []}",1
8825289276,TRUE,FALSE,"{'pos': ['đẹp', 'ổn áp'], 'neg': []}","{'pos': ['son đẹp', 'giao nhanh', 'màu xinh'], 'neg': []}","{'pos': ['đẹp', 'ổn áp'], 'neg': []}","{'pos': ['đẹp', 'ổn áp', 'màu xinh'], 'neg': []}",1
8889291387,FALSE,TRUE,{},{},{},{},0.5
8981531869,TRUE,FALSE,"{'pos': ['giao nhanh', 'đóng gói chắc chắn', 'cầm nhẹ tay', 'mịn', 'tốt', 'xinh', 'tự nhiên', 'sang', 'chất lượng tốt', 'giá rẻ'], 'neg': ['giao chậm']}","{'pos': ['giao hàng nhanh', 'đóng gói chắc chắn', 'mịn'], 'neg': []}","{'pos': ['giao nhanh', 'đóng gói chắc chắn', 'cầm nhẹ tay', 'mịn', 'tốt', 'xinh', 'tự nhiên', 'sang', 'chất lượng tốt', 'giá rẻ'], 'neg': ['giao chậm']}","{'pos': ['giao hàng nhanh', 'đóng gói chắc chắn', 'cầm nhẹ tay', 'mịn', 'tốt'], 'neg': []}",1
9044530266,FALSE,FALSE,{},{},{},{},0.5
9441065872,FALSE,FALSE,{},{},{},{},0.5
9570211901,FALSE,TRUE,{},{},{},{},0.5
9579820959,TRUE,FALSE,"{'pos': ['siêu xinh', 'chất nhẹ', 'tự nhiên', 'xuất sắc'], 'neg': []}","{'pos': ['màu xinh', 'chất nhẹ', 'tự nhiên'], 'neg': []}","{'pos': ['siêu xinh', 'chất nhẹ', 'tự nhiên', 'xuất sắc'], 'neg': []}","{'pos': ['siêu xinh', 'chất nhẹ', 'tự nhiên', 'xuất sắc'], 'neg': []}",1
9598244866,TRUE,FALSE,"{'pos': ['ấn tượng tốt', 'sang', 'chất lượng tốt', 'giá rẻ'], 'neg': []}","{'pos': ['sang', 'tặng kèm'], 'neg': []}","{'pos': ['ấn tượng tốt', 'sang', 'chất lượng tốt', 'giá rẻ'], 'neg': []}","{'pos': ['ấn tượng tốt', 'sang', 'chất lượng tốt'], 'neg': []}",1
9711017284,TRUE,FALSE,"{'pos': ['đẹp lắm', 'gói hàng chỉnh chu', 'màu kiểu nâu sáng', 'lợt', 'kh đậm'], 'neg': []}","{'pos': ['màu đẹp', 'chống nước'], 'neg': []}","{'pos': ['đẹp lắm', 'gói hàng chỉnh chu', 'màu kiểu nâu sáng', 'lợt', 'kh đậm'], 'neg': []}","{'pos': ['màu đẹp', 'gói hàng chỉnh chu', 'chống nước'], 'neg': []}",1
10081931842,TRUE,FALSE,"{'pos': ['đẹp', 'mịn', 'lì như trâu', 'dễ thương', 'đáng tiền'], 'neg': []}","{'pos': ['tặng kèm', 'lên màu đẹp', 'mịn'], 'neg': []}","{'pos': ['đẹp', 'mịn', 'lì như trâu', 'dễ thương', 'đáng tiền'], 'neg': []}","{'pos': ['đẹp', 'mịn', 'dễ thương', 'đáng tiền'], 'neg': []}",1
10085129582,FALSE,FALSE,{},{},{},{},0.5
10089774717,TRUE,FALSE,"{'pos': ['giao hàng nhamh', 'màu xinh', 'mềm môi', 'không khô'], 'neg': []}","{'pos': ['màu xinh', 'mềm môi', 'giao hàng nhanh'], 'neg': []}","{'pos': ['giao hàng nhamh', 'màu xinh', 'mềm môi', 'không khô'], 'neg': []}","{'pos': ['màu xinh', 'mềm môi'], 'neg': []}",1
10099320055,TRUE,FALSE,"{'pos': ['siêu đẹp', 'mềm mịn', 'độ lì ổn', 'màu xinh cực'], 'neg': []}","{'pos': ['màu xinh', 'mịn', 'độ lì ổn'], 'neg': ['làm lộ viền môi']}","{'pos': ['siêu đẹp', 'mềm mịn', 'độ lì ổn', 'màu xinh cực'], 'neg': []}","{'pos': ['siêu đẹp', 'mềm mịn', 'độ lì ổn', 'màu xinh cực'], 'neg': []}",1
10157853586,TRUE,FALSE,"{'pos': ['giao hàng khá nhanh', 'thiết kê nhỏ gọn', 'chất son mịn mướt'], 'neg': []}","{'pos': ['giao hàng nhanh', 'thiết kế nhỏ gọn', 'mịn'], 'neg': ['độ bền bình thường']}","{'pos': ['giao hàng khá nhanh', 'thiết kê nhỏ gọn', 'chất son mịn mướt'], 'neg': []}","{'pos': ['giao hàng khá nhanh', 'thiết kế nhỏ gọn', 'chất son mịn mướt'], 'neg': []}",1
10174988779,TRUE,FALSE,"{'pos': ['chất lượng son xứng đáng', 'tốt', 'rẻ'], 'neg': []}","{'pos': ['chất son tốt', 'màu đẹp', 'tặng kèm'], 'neg': []}","{'pos': ['chất lượng son xứng đáng', 'tốt', 'rẻ'], 'neg': []}","{'pos': ['giao đúng loại', 'dễ kẻ', 'tặng thỏi son sịn'], 'neg': []}",1
10178914987,TRUE,FALSE,"{'pos': ['giao đúng loại', 'dễ kẻ', 'tặng thỏi son sịn', 'cuteo'], 'neg': []}","{'pos': ['giao đúng loại', 'dễ kẻ', 'tặng kèm'], 'neg': []}","{'pos': ['giao đúng loại', 'dễ kẻ', 'tặng thỏi son sịn', 'cuteo'], 'neg': []}","{'pos': [], 'neg': []}",0.5
10260431424,TRUE,FALSE,"{'pos': ['màu đẹp', 'chất lì mềm mịn', 'ok', 'hài lòng'], 'neg': []}","{'pos': ['màu đẹp', 'lì', 'mịn', 'tặng kèm'], 'neg': []}","{'pos': ['màu đẹp', 'chất lì mềm mịn', 'ok', 'hài lòng'], 'neg': []}","{'pos': ['màu đẹp', 'chất lì mềm mịn', 'hài lòng'], 'neg': []}",1
10269208903,TRUE,FALSE,"{'pos': ['màu chuẩn', 'không bị hồng', 'thiên về nâu nhiều hơn đỏ'], 'neg': []}","{'pos': ['màu chuẩn', 'không bị hồng'], 'neg': []}","{'pos': ['màu chuẩn', 'không bị hồng', 'thiên về nâu nhiều hơn đỏ'], 'neg': []}","{'pos': ['màu chuẩn', 'không bị hồng', 'thiên về nâu nhiều hơn đỏ'], 'neg': []}",1
10325459122,TRUE,FALSE,"{'pos': ['màu nâu đất xinh lắm', 'đẹp lắm', 'phớt hồng nhẹ', 'trắng lên'], 'neg': []}","{'pos': ['màu nâu đất xinh', 'đẹp', 'không bị xỉn màu da'], 'neg': []}","{'pos': ['màu nâu đất xinh lắm', 'đẹp lắm', 'phớt hồng nhẹ', 'trắng lên'], 'neg': []}","{'pos': ['màu nâu đất xinh lắm', 'đẹp lắm', 'phớt hồng nhẹ'], 'neg': []}",1
10384891581,TRUE,FALSE,"{'pos': ['giao hàng khá nhanh', 'đóng gói chắc chắn', 'màu son siêu đẹp', 'lì lại'], 'neg': []}","{'pos': ['giao hàng nhanh', 'đóng gói chắc chắn', 'màu son đẹp'], 'neg': []}","{'pos': ['giao hàng khá nhanh', 'đóng gói chắc chắn', 'màu son siêu đẹp', 'lì lại'], 'neg': []}","{'pos': ['giao hàng khá nhanh', 'đóng gói chắc chắn', 'màu son siêu đẹp', 'lì lại'], 'neg': []}",1
10401059465,TRUE,FALSE,"{'pos': ['vỏ son cầm chắc tay', 'xịn sò', 'chất son ẩm mịn', 'đẹp', 'thơm nhẹ', 'bám lâu', 'sale', 'quất 2 màu'], 'neg': []}","{'pos': ['vỏ son cầm chắc tay', 'chất son ẩm mịn', 'bám lâu'], 'neg': []}","{'pos': ['vỏ son cầm chắc tay', 'xịn sò', 'chất son ẩm mịn', 'đẹp', 'thơm nhẹ', 'bám lâu', 'sale', 'quất 2 màu'], 'neg': []}","{'pos': ['vỏ son cầm chắc tay', 'xịn sò', 'chất son ẩm mịn', 'đẹp', 'thơm nhẹ', 'bám lâu'], 'neg': []}",1
10489924344,TRUE,FALSE,"{'pos': ['giao hàng nhanh', 'vỏ son lì siu đẹp', 'mùi thơm dễ chịu', 'đánh lên môi đẹp'], 'neg': []}","{'pos': ['giao hàng nhanh', 'vỏ son lì đẹp', 'mùi thơm'], 'neg': []}","{'pos': ['giao hàng nhanh', 'vỏ son lì siu đẹp', 'mùi thơm dễ chịu', 'đánh lên môi đẹp'], 'neg': []}","{'pos': ['giao hàng nhanh', 'vỏ son lì siu đẹp', 'mùi thơm dễ chịu', 'đánh lên môi đẹp'], 'neg': []}",1
10530857742,TRUE,FALSE,"{'pos': ['giao hàng siêu chất lượng', 'màu son đẹp', 'cây son nhìn cũn rất xinh'], 'neg': []}","{'pos': ['giao hàng siêu chất lượng', 'màu son đẹp'], 'neg': []}","{'pos': ['giao hàng siêu chất lượng', 'màu son đẹp', 'cây son nhìn cũn rất xinh'], 'neg': []}","{'pos': ['giao hàng siêu chất lượng', 'màu son đẹp', 'cây son nhìn cũn rất xinh'], 'neg': []}",1
10646568383,TRUE,FALSE,"{'pos': ['giao nhanh', 'đóng gói kỹ', 'tặng thêm quà', 'màu ok', 'ko vay ra khẩu trang'], 'neg': []}","{'pos': ['giao nhanh', 'đóng gói kỹ', 'tặng quà'], 'neg': []}","{'pos': ['giao nhanh', 'đóng gói kỹ', 'tặng thêm quà', 'màu ok', 'ko vay ra khẩu trang'], 'neg': []}","{'pos': ['giao nhanh', 'đóng gói kỹ', 'tặng thêm quà', 'màu ok'], 'neg': []}",1
10661907895,TRUE,FALSE,"{'pos': ['màu son siêu ưng', 'mềm môi', 'mịn lắm'], 'neg': []}","{'pos': ['màu son siêu ưng', 'mướt mịn'], 'neg': ['trôi']}","{'pos': ['màu son siêu ưng', 'mềm môi', 'k dính', 'k bột', 'bềnnnnn màu kinh khủng'], 'neg': []}","{'pos': ['màu son siêu ưng', 'mềm môi', 'mịn lắm'], 'neg': []}",1
10665085242,TRUE,FALSE,"{'pos': ['mềm môi', 'k dính', 'k bột', 'bềnnnnn màu kinh khủng', 'ship khá nhanh'], 'neg': []}","{'pos': ['nhẹ môi', 'không dính', 'bền màu'], 'neg': ['son hơn ít']}","{'pos': ['nhẹ môi', 'k dính', 'k bột', 'bềnnnnn màu kinh khủng', 'ship khá nhanh'], 'neg': []}","{'pos': ['nhẹ môi', 'không dính', 'bền màu'], 'neg': []}",1
